Address,Type,Time,Tx_id,BTC value,New_column
bc1qqmff2pgjraleqajcq7f9a6jnwe3h8e2fg63z63,Received,10/04/2024,92e6c73c9519db356976d88d819dd36090987919dfac24c8709ca0ef8015e1a3,14318.99532,
3JZq4atUahhuA9rLhXLMhhTo133J9rF97j,Sent,09/04/2024,b3ff380a32dff5b09a0f7b628bb0f70da2260959ecde83775ed7e52decc8e234,4000.001374,
1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g,Received,09/04/2024,b3ff380a32dff5b09a0f7b628bb0f70da2260959ecde83775ed7e52decc8e234,4000,
bc1qxr80h2ypwlttat2pn4fjkxaccgspexwdj9j597,Sent,09/04/2024,1aa5b7cc2c24c69cbc9fc669c8289d4202ff51b0122fb63fc9fa86be5728587d,6763.928005,
bc1q2w9tpv6wdxhfqa0w82wnzfu8e8k6ld347zhy8p,Received,09/04/2024,1aa5b7cc2c24c69cbc9fc669c8289d4202ff51b0122fb63fc9fa86be5728587d,6744.927345,
3MqUP6G1daVS5YTD8fz3QgwjZortWwxXFd,Received,09/04/2024,69fb6022c23f1933734e3f1999d97c8a5143e060ba85998751876e22cf2dae46,4141.298564,
bc1qccejuvemd0c33uk6l5ccev6400qfxca40gcvuk,Sent,09/04/2024,4b7a89f354d6002b97fb1c5bb39d78d165b248ef4b7dc5f4cdbfe3d6755ef355,5477.346394,
bc1q4eff6hv5m6696myzm7chn3fhp4x6qv95crfv5q,Received,09/04/2024,4b7a89f354d6002b97fb1c5bb39d78d165b248ef4b7dc5f4cdbfe3d6755ef355,5459.818154,
bc1qz94xdnhhsdrlfpvpnyy8rc2sseyf2zz8dh7z39,Sent,09/04/2024,d06143591fca6a804b6346e7565d3bab559dc24f6622ce7858b7f04a47c99029,15615.38665,
bc1qjawl2hed7dkdcc5449zd30wgrvaedc79ljga8v,Received,09/04/2024,d06143591fca6a804b6346e7565d3bab559dc24f6622ce7858b7f04a47c99029,15565.3865,
bc1q4jd898h3nv8xlwgzw39hpy6s2n44d4y8qa4s6a,Sent,08/04/2024,4336260123a238463b285748a02c99d99f76a57f71ea89c4e0c6d5b6f20fe10c,16318.99674,
