date,total_volume
2023-10-23,10246.77651007
2023-10-23,12767.27644636
2023-10-23,12794.27659156
2023-10-24,3958.84519433
2023-10-24,4088.85066372
2023-10-24,4499.999567
2023-10-24,5299.99982862
2023-10-24,5354.9992086
2023-10-24,5404.9993406
2023-10-24,5404.9996046
2023-10-24,5524.9996046
2023-10-24,5698.69951869
2023-10-24,5804.69994109
2023-10-24,5804.70016549
2023-10-24,5999.999897
2023-10-24,6154.70016549
2023-10-24,6438.77073401
2023-10-24,6500
2023-10-24,8735.34592927
2023-10-24,9283.34624607
2023-10-24,9283.34651007
2023-10-24,9883.57651007
2023-10-25,5553.73557841
2023-10-25,5698.70016549
2023-10-25,12732.27612956
2023-10-25,12767.27659156
2023-10-26,4000
2023-10-26,4000.000088
2023-10-26,4999.999897
2023-10-26,5410.85158339
2023-10-26,5480.40871179
2023-10-26,5553.73604041
2023-10-26,6363.23204539
2023-10-26,18320.04340629
2023-10-26,19035.03344591
2023-10-26,19035.04304837
2023-10-27,4999.99971452
2023-10-27,4999.999897
2023-10-27,5299.99982862
2023-10-27,7432.58616687
2023-10-27,9832.58528787
2023-10-27,9832.58651007
2023-10-27,10421.10651007
2023-10-28,4500.0004203
2023-10-28,6444
2023-10-28,6444.006089
2023-10-28,12753.19610718
2023-10-28,12786.19659156
2023-10-29,4999.99971452
2023-10-30,5321.80872582
2023-10-30,5480.40917379
2023-10-30,8473.58622135
2023-10-30,9022.58651007
2023-10-31,4928.31761512
2023-10-31,5321.80893702
2023-11-01,5410.85204539
2023-11-01,5474.99915064
2023-11-01,5484.9996046
2023-11-01,7240.3217595
2023-11-01,7246.46498489
2023-11-02,4240.85941512
2023-11-02,4928.31786592
2023-11-02,7000
2023-11-02,7000.00010018
2023-11-03,3821.08164132
2023-11-03,4000
2023-11-03,4035.689
2023-11-03,5045.41017
2023-11-03,7000
2023-11-03,7684.90351229
2023-11-03,7686.40354791
2023-11-03,10000
2023-11-03,10026.22543007
2023-11-03,10031.96484597
2023-11-03,10586.22651007
2023-11-03,12000
2023-11-03,12000.000282
2023-11-06,3812.11485512
2023-11-06,4240.85966592
2023-11-06,6745.53674543
2023-11-06,6756.98085067
2023-11-07,4760.9408597
2023-11-07,7260.94227558
2023-11-08,3812.11576592
2023-11-08,4000
2023-11-08,4000.000223
2023-11-08,5000
2023-11-08,5000.00013826
2023-11-08,5459.9982582
2023-11-08,5479.99717454
2023-11-08,5479.9996046
2023-11-08,5509.9996046
2023-11-08,10879.20663279
2023-11-08,11429.71241007
2023-11-08,13293.30141935
2023-11-08,13323.30659156
2023-11-09,4726.58411398
2023-11-09,4760.94227558
2023-11-09,5419.997519
2023-11-09,5459.9996046
2023-11-09,7669.22631401
2023-11-09,10000
2023-11-09,11156.35668407
2023-11-09,11656.36041007
2023-11-09,17669.22657787
2023-11-09,30041.0523339
2023-11-09,40041.05259302
2023-11-10,4597.71061
2023-11-10,5042.42621296
2023-11-10,5042.426656
2023-11-10,5319.9960538
2023-11-10,5419.9996046
2023-11-11,4000
2023-11-11,4020.54374
2023-11-11,13387.89074498
2023-11-11,13417.89659156
2023-11-13,5319.99548737
2023-11-13,5329.9996046
2023-11-13,10970.25749287
2023-11-13,11510.25389278
2023-11-13,11510.26041007
2023-11-13,11960.26041007
2023-11-14,3903.04575581
2023-11-14,3979.16890349
2023-11-14,4000
2023-11-14,4363.66292
2023-11-14,4379.8998
2023-11-14,4723.24499102
2023-11-14,4726.58688598
2023-11-14,9417.10852844
2023-11-14,9867.2057757
2023-11-14,9867.21041007
2023-11-14,10418.65749287
2023-11-14,10970.26041007
2023-11-14,12988.15247433
2023-11-14,13430.15659156
2023-11-15,3813.13784701
2023-11-15,4723.24620542
2023-11-15,4879.03832071
2023-11-15,4900
2023-11-15,8865.51931447
2023-11-15,9417.11041007
2023-11-16,5279.996067
2023-11-16,5319.9996046
2023-11-16,7395.85605727
2023-11-16,7950.74605727
2023-11-16,7950.74941007
2023-11-16,8502.63054039
2023-11-16,8502.63941007
2023-11-16,10042.63941007
2023-11-17,4900
2023-11-17,6877.40847805
2023-11-17,7395.91321007
2023-11-20,4000
2023-11-20,4000.00701985
2023-11-20,4200
2023-11-20,4200.130474
2023-11-21,4809.30316992
2023-11-21,5000
2023-11-21,7384.04005597
2023-11-21,7924.05321007
2023-11-21,9809.30574392
2023-11-22,6450.00918741
2023-11-22,6500.00957049
2023-11-22,7305.07787238
2023-11-22,7840.08321007
2023-11-23,5359.9981394
2023-11-23,5369.99276292
2023-11-23,5369.9996046
2023-11-23,5379.9996046
2023-11-24,5339.9982714
2023-11-24,5359.9996046
2023-11-24,6400.00904996
2023-11-24,6450.00918741
2023-11-25,13323.46189116
2023-11-25,13363.46660248
2023-11-27,7983.62230967
2023-11-27,8483.62225687
2023-11-27,8483.62326007
2023-11-27,8993.62216447
2023-11-27,8993.62326007
2023-11-27,9501.62216447
2023-11-27,9501.62326007
2023-11-27,10014.6163055
2023-11-27,10014.62326007
2023-11-27,10531.62326007
2023-11-28,4245.0281939
2023-11-28,4274.4002698
2023-11-29,5000
2023-11-29,5000.00079662
2023-11-29,6675.22321748
2023-11-29,6698.54927042
2023-11-30,4668.39303412
2023-11-30,4780.39459802
2023-11-30,5329.9988126
2023-11-30,5339.9996046
2023-11-30,9780.41646807
2023-11-30,10288.41393142
2023-11-30,10288.41726007
2023-11-30,10796.41726007
2023-12-01,5229.9985618
2023-12-01,5329.9996046
2023-12-03,4484.60730759
2023-12-03,4636.60753259
2023-12-03,10754.36300923
2023-12-03,10968.36740411
2023-12-04,4500
2023-12-04,4500.00094
2023-12-04,6360.00890617
2023-12-04,6400.00904996
2023-12-04,10272.36613691
2023-12-04,10754.36740411
2023-12-05,3931.80889837
2023-12-05,4252.53409646
2023-12-05,5999.99853714
2023-12-05,6733.38420543
2023-12-05,6745.53808679
2023-12-05,7000
2023-12-05,7000.00838569
2023-12-05,8489.48713731
2023-12-05,8938.36341981
2023-12-05,8938.36489611
2023-12-05,9369.36489611
2023-12-05,9812.36501491
2023-12-05,9812.36740411
2023-12-05,10272.36740411
2023-12-06,7239
2023-12-06,7239.00253854
2023-12-06,7239.00483292
2023-12-06,7360.48621019
2023-12-06,7683.90294508
2023-12-06,7684.90351229
2023-12-06,7805.48851011
2023-12-06,8246.48626881
2023-12-06,8246.49240411
2023-12-06,8691.49240411
2023-12-07,4499.99561616
2023-12-07,4535.50995
2023-12-07,5179.9958954
2023-12-07,5229.9996046
2023-12-07,5999.99853714
2023-12-07,7098.33342973
2023-12-07,7239
2023-12-07,7239.00167191
2023-12-07,7549.34240411
2023-12-08,4529.50668244
2023-12-08,4535.50939524
2023-12-08,4535.50995
2023-12-08,4577.37929
2023-12-08,4577.380772
2023-12-08,5179.9948954
2023-12-08,5179.9996046
2023-12-09,5139.9948954
2023-12-09,5179.9986046
2023-12-10,4139.9948954
2023-12-10,5139.9986046
2023-12-11,4139.9986046
2023-12-11,5047.82651154
2023-12-11,5313.62957825
2023-12-11,5313.63050658
2023-12-11,5537.71869491
2023-12-11,6017.02100491
2023-12-11,6017.02240411
2023-12-11,6485.51869491
2023-12-11,6485.52240411
2023-12-11,6943.51869491
2023-12-11,6943.52240411
2023-12-11,7408.51869491
2023-12-11,7408.52240411
2023-12-11,7879.51106576
2023-12-11,7879.52240411
2023-12-11,8321.52240411
2023-12-12,4119.23107091
2023-12-12,4499.99561616
2023-12-12,4579.73011262
2023-12-12,4579.73240411
2023-12-12,5047.83240411
2023-12-12,9600
2023-12-12,9600.00073784
2023-12-12,11438.784
2023-12-12,11438.78653112
2023-12-13,4119.23240411
2023-12-14,3958.84627372
2023-12-14,3958.85056372
2023-12-14,3958.85066372
2023-12-14,4410.82105511
2023-12-14,4871.83240411
2023-12-14,6658.06087048
2023-12-14,6675.22321748
2023-12-15,3952.82791611
2023-12-15,3952.83240411
2023-12-15,4410.83240411
2023-12-16,5500.8415243
2023-12-16,5500.8438383
2023-12-16,20000
2023-12-16,20000.006489
2023-12-18,4999.99551547
2023-12-18,5000
2023-12-19,6631.07533282
2023-12-19,6658.06087048
2023-12-19,7000
2023-12-19,7000.04139423
2023-12-20,3969.58914923
2023-12-20,3974.61723343
2023-12-20,5088.15743861
2023-12-21,5999.97959592
2023-12-21,6629.15732072
2023-12-21,6631.07533282
2023-12-21,7000
2023-12-22,3979
2023-12-22,3980.06860411
2023-12-22,4999.94980088
2023-12-22,5999.97959592
2023-12-22,6301.83
2023-12-22,6301.83299
2023-12-22,7000
2023-12-22,7000.00421962
2023-12-22,7098.35675443
2023-12-22,7148.37879
2023-12-23,3998.99884523
2023-12-23,3998.99955708
2023-12-24,9872.65720373
2023-12-24,9872.68314284
2023-12-26,3999.93797434
2023-12-26,4455.42653409
2023-12-26,4470
2023-12-26,4999.94980088
2023-12-26,6999.98783138
2023-12-26,6999.99144484
2023-12-26,6999.99316623
2023-12-26,12249
2023-12-26,12249.0004068
2023-12-26,30000
2023-12-26,30041.0523339
2023-12-27,3695.17329912
2023-12-27,3725
2023-12-27,3775.18902002
2023-12-27,3775.18904002
2023-12-27,4469.99961021
2023-12-27,4470
2023-12-27,4470.07166251
2023-12-27,5381.40902002
2023-12-27,5737.33193138
2023-12-27,6028.1433819
2023-12-27,6128.03239302
2023-12-27,9624.64433547
2023-12-27,9624.66362865
2023-12-27,9723.66885379
2023-12-27,9723.688729
2023-12-28,3971.9040415
2023-12-28,3981.16785743
2023-12-29,3999.93797434
2023-12-29,4314.99109307
2023-12-29,4314.99999971
2023-12-29,4630.39211642
2023-12-29,4668.39459802
2023-12-29,8275.23406148
2023-12-29,8275.2425
2023-12-29,10000
2023-12-29,10000.00083625
2023-12-29,16223.93487826
2023-12-29,16223.9383
2023-12-30,8856.661
2023-12-30,8856.67793192
