date,price,forecasted_price
2023-04-28,29349.97,32367.643520130238134760
2023-04-29,29321.83,32382.722403841012464760
2023-04-30,29363.51,32397.801287551786794760
2023-05-01,28455.45,32412.880171262561124760
2023-05-02,28270.81,32427.959054973335454760
2023-05-03,28558.47,32443.037938684109784760
2023-05-04,29005.60,32458.116822394884114760
2023-05-05,29266.49,32473.195706105658444760
2023-05-06,29135.61,32488.274589816432774760
2023-05-07,28914.01,32503.353473527207104760
2023-05-08,27944.38,32518.432357237981434760
2023-05-09,27605.99,32533.511240948755764760
2023-05-10,27725.45,32548.590124659530094760
2023-05-11,27301.61,32563.669008370304424760
2023-05-12,26521.67,32578.747892081078754760
2023-05-13,26834.58,32593.826775791853084760
2023-05-14,26876.96,32608.905659502627414760
2023-05-15,27327.83,32623.984543213401744760
2023-05-16,27075.83,32639.063426924176074760
2023-05-17,27009.38,32654.142310634950404760
2023-05-18,27151.22,32669.221194345724734760
2023-05-19,26883.21,32684.300078056499064760
2023-05-20,26932.58,32699.378961767273394760
2023-05-21,26986.33,32714.457845478047724760
2023-05-22,26812.42,32729.536729188822054760
2023-05-23,27231.87,32744.615612899596384760
2023-05-24,26626.33,32759.694496610370714760
2023-05-25,26315.21,32774.773380321145044760
2023-05-26,26573.88,32789.852264031919374760
2023-05-27,26723.67,32804.931147742693704760
2023-05-28,27314.50,32820.010031453468034760
2023-05-29,27879.71,32835.088915164242364760
2023-05-30,27786.79,32850.167798875016694760
2023-05-31,27205.58,32865.246682585791024760
2023-06-01,26924.58,32880.325566296565354760
2023-06-02,27066.46,32895.404450007339684760
2023-06-03,27159.42,32910.483333718114014760
2023-06-04,27175.79,32925.562217428888344760
2023-06-05,26445.67,32940.641101139662674760
2023-06-06,26101.67,32955.719984850437004760
2023-06-07,26686.29,32970.798868561211334760
2023-06-08,26468.92,32985.877752271985664760
2023-06-09,26530.67,33000.956635982759994760
2023-06-10,25843.33,33016.035519693534324760
2023-06-11,25839.33,33031.114403404308654760
2023-06-12,25876.04,33046.193287115082984760
2023-06-13,25992.21,33061.272170825857314760
2023-06-14,25827.54,33076.351054536631644760
2023-06-15,25101.17,33091.429938247405974760
2023-06-16,25765.79,33106.508821958180304760
2023-06-17,26473.92,33121.587705668954634760
2023-06-18,26511.54,33136.666589379728964760
2023-06-19,26501.39,33151.745473090503294760
2023-06-20,27193.50,33166.824356801277624760
2023-06-21,29301.96,33181.903240512051954760
2023-06-22,30101.58,33196.982124222826284760
2023-06-23,30348.29,33212.061007933600614760
2023-06-24,30641.38,33227.139891644374944760
2023-06-25,30634.21,33242.218775355149274760
2023-06-26,30272.33,33257.297659065923604760
2023-06-27,30530.29,33272.376542776697934760
2023-06-28,30320.13,33287.455426487472264760
2023-06-29,30419.25,33302.534310198246594760
2023-06-30,30577.13,33317.613193909020924760
2023-07-01,30508.79,33332.692077619795254760
2023-07-02,30540.17,33347.770961330569584760
2023-07-03,30817.63,33362.849845041343914760
2023-07-04,31002.91,33377.928728752118244760
2023-07-05,30604.46,33393.007612462892574760
2023-07-07,30190.46,33408.086496173666904760
2023-07-08,30233.92,33423.165379884441234760
2023-07-09,30274.33,33438.244263595215564760
2023-07-10,30257.38,33453.323147305989894760
2023-07-11,30504.96,33468.402031016764224760
2023-07-12,30584.83,33483.480914727538554760
2023-07-13,30707.50,33498.559798438312884760
2023-07-14,31080.91,33513.638682149087214760
